nom_variete,culture,zone_adaptation,cycle_jours,resistance_secheresse,temperature_min,temperature_max,besoin_eau,fournisseur,prix_kg_fcfa
Souna 3,Mil,"Nord, Vallee du Fleuve",85,Oui,25,35,Faible,ISRA,500
Thialack 2,Mil,"Centre, Sud, Littoral",105,Oui,22,32,Moyen,ISRA,550
IBON 15-1,Mil,"Nord, Vallee du Fleuve",78,Oui,28,38,Tres faible,ISRA,600
Fleur 11,Arachide,"Centre, Sud, Littoral",95,Oui,24,30,Moyen,ISRA,700
55-437,Arachide,"Nord, Centre, Vallee du Fleuve",90,Oui,25,32,Faible,ISRA,650
Mongal F1,Tomate,"Littoral, Centre, Sud",78,Non,20,28,Eleve,Tropic Agro,15000
Cobra 26,Tomate,"Nord, Centre, Vallee du Fleuve",88,Oui,22,32,Moyen,Tropic Agro,12000
California Wonder,Poivron,"Littoral, Centre, Sud",73,Non,18,27,Eleve,Tropic Agro,18000
Great Lakes,Laitue,"Littoral, Centre",48,Non,15,24,Eleve,Tropic Agro,8000
Sunarach,Arachide,"Sud, Littoral",100,Non,22,28,Moyen,ISRA,800
Sanio 3,Mil,"Nord, Centre",92,Oui,24,34,Faible,ISRA,520
UC82 B,Tomate,"Centre, Littoral",75,Non,20,28,Eleve,Tropic Agro,10000
Yolo Wonder,Poivron,"Centre, Nord",80,Oui,20,30,Moyen,AgroSen,16000
Paris Island,Laitue,"Littoral, Centre",55,Non,15,25,Moyen,AgroSen,7500
Local Mbour,Arachide,"Littoral, Centre",85,Oui,25,35,Faible,Producteurs locaux,400
Rio Grande,Tomate,"Littoral, Sud",85,Non,20,30,Eleve,Tropic Agro,13000
Star 9006,Poivron,"Littoral, Centre",70,Non,20,28,Eleve,AgroSen,20000
