culture,variete,type_culture,mode_culture,temperature_min,temperature_max,humidite_min,humidite_max,type_sol,saison,zone_favorable,rendement_kg_ha,cycle_jours,resistance_chaleur,resistance_secheresse,prix_semence_CFA
tomate,Progress,Hybride F1 rond croissance déterminée,Sous serre,22,30,60,80,"Sablo-argileux / limono-sableux, bien drainé","Saison sèche / hivernage avec irrigation","Vallée du fleuve Sénégal, zones irriguées",42000,75,8,6,25000
tomate,Gempride,Hybride F1 rond croissance déterminée tige courte,Sous serre,22,28,60,75,"Sols légers à moyens, riches en humus","Saison fraîche / début saison sèche","Niger, Sénégal, Bassin arachidier",38000,70,7,5,22000
tomate,Yakii,Hybride F1 rond précoce,Sous serre,22,28,60,75,"Sablo-limoneux / limono-sableux","Saison sèche","Vallée du fleuve, Dakar",40000,65,7,6,20000
tomate,Flamenco,Hybride F1 tolérant chaleur,Sous serre,22,30,60,75,"Limono-sableux / sablo-argileux","Saison sèche / hivernage","Sénégal, Côte d'Ivoire, Burkina Faso",45000,70,9,7,28000
tomate,Nadira,Hybride F1 résistant viroses,Sous serre,22,28,60,75,"Sols bien drainés","Saison sèche / hivernage","Dakar, Vallée du fleuve, Sud",40000,72,7,6,26000
tomate,Mongal F1,Hybride F1 vigoureux,Sous serre,20,30,60,75,"Sablo-argileux / limono-sableux","Saison chaude / hivernage","Sénégal, Niger, Afrique de l'Ouest",43000,68,8,7,24000
tomate,Assila,Hybride F1 industriel,Sous serre,20,30,60,75,"Sols profonds riches en matière organique","Saison sèche / hivernage","Zones chaudes irriguées",50000,80,8,6,30000
tomate,Thorgal F1,Hybride F1 très vigoureux,Sous serre,20,30,60,75,"Sablo-limoneux / limono-sableux","Saison chaude / hivernage","Afrique de l'Ouest",44000,70,8,7,26000
tomate,UC82B,Variété industrielle,Plein air,20,30,55,75,"Sols riches en humus","Saison sèche","Afrique de l'Ouest",48000,75,8,6,22000
tomate,Rio Grande,Variété sauce,Plein air,18,32,55,80,"Sols profonds","Toute saison","Zone sahélienne",42000,80,8,7,20000
tomate,Tropic,Variété tropicale,Plein air,22,35,50,80,"Sols sableux","Saison des pluies","Zone tropicale",35000,85,9,8,18000
tomate,Marglobe,Variété ancienne,Plein air,18,30,55,80,"Sols riches","Saison fraîche","Altitude",30000,90,6,5,15000
tomate,Rutgers,Variété ancienne,Plein air,18,30,55,80,"Sols limoneux","Saison fraîche","Zone tempérée",32000,85,6,5,15000
tomate,Coeur de boeuf,Grosse chair,Sous serre,20,28,60,75,"Sols profonds","Saison fraîche","Maraîchage",35000,90,6,5,35000
tomate,Tomate cerise,Cocktail,Sous serre,20,30,60,80,"Sols légers","Toute saison","Toutes zones",25000,70,7,6,30000
tomate,Green Zebra,Originale verte,Sous serre,20,28,60,75,"Sols riches","Saison fraîche","Spécialisée",20000,80,6,5,40000
tomate,Noire de Crimée,Ancienne,Sous serre,18,28,60,75,"Sols profonds","Saison fraîche","Altitude",22000,85,5,4,45000
tomate,San Marzano,Allongée sauce,Sous serre,20,30,55,75,"Sols riches","Saison sèche","Industrie",45000,85,7,6,35000
tomate,Roma VF,Allongée résistante,Plein air,20,32,55,80,"Sols bien drainés","Saison sèche","Zone tropicale",40000,80,8,7,20000
tomate,Petite Sirah,Cerise noire,Sous serre,20,28,60,75,"Sols légers","Toute saison","Spécialisée",18000,75,6,5,50000
poivron,Monaco F1,Poivron carré hybride F1,Sous serre,22,30,60,75,"Sablo-limoneux / limono-sableux","Saison sèche / hivernage irrigué","Niayes, Dakar, Thiès, Ziguinchor",35000,75,7,6,20000
poivron,Nikita,Poivron hybride F1,Sous serre,22,30,60,75,"Sols bien drainés riches en matière organique","Saison sèche / hivernage","Niayes, Thiès",32000,70,7,6,18000
poivron,Fenix F1,Poivron coloré hybride F1,Sous serre,22,28,60,75,"Sols bien drainés amendés","Saison fraîche / hivernage","Niayes, Dakar",30000,75,6,5,22000
